subject,subj_raw,hand,date,run,ts,src_dir,fname
fgw0917,fgw-0917,left,20260502,3,20260502_104240,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104240.npz
fgw0917,fgw-0917,left,20260502,3,20260502_104509,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104509.npz
fgw0917,fgw-0917,left,20260502,3,20260502_104725,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104725.npz
fgw0917,fgw-0917,left,20260502,3,20260502_104940,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_104940.npz
fgw0917,fgw-0917,left,20260502,3,20260502_105153,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105153.npz
fgw0917,fgw-0917,left,20260502,3,20260502_105406,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105406.npz
fgw0917,fgw-0917,left,20260502,3,20260502_105620,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105620.npz
fgw0917,fgw-0917,left,20260502,3,20260502_105835,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_105835.npz
fgw0917,fgw-0917,left,20260502,3,20260502_110050,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110050.npz
fgw0917,fgw-0917,left,20260502,3,20260502_110306,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110306.npz
fgw0917,fgw-0917,left,20260502,3,20260502_110523,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110523.npz
fgw0917,fgw-0917,left,20260502,3,20260502_110738,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110738.npz
fgw0917,fgw-0917,left,20260502,3,20260502_110952,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_110952.npz
fgw0917,fgw-0917,left,20260502,3,20260502_111232,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111232.npz
fgw0917,fgw-0917,left,20260502,3,20260502_111447,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111447.npz
fgw0917,fgw-0917,left,20260502,3,20260502_111705,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111705.npz
fgw0917,fgw-0917,left,20260502,3,20260502_111920,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_111920.npz
fgw0917,fgw-0917,left,20260502,3,20260502_112135,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112135.npz
fgw0917,fgw-0917,left,20260502,3,20260502_112349,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112349.npz
fgw0917,fgw-0917,left,20260502,3,20260502_112603,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112603.npz
fgw0917,fgw-0917,left,20260502,3,20260502_112818,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_112818.npz
fgw0917,fgw-0917,left,20260502,3,20260502_113031,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113031.npz
fgw0917,fgw-0917,left,20260502,3,20260502_113247,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113247.npz
fgw0917,fgw-0917,left,20260502,3,20260502_113503,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113503.npz
fgw0917,fgw-0917,left,20260502,3,20260502_113718,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113718.npz
fgw0917,fgw-0917,left,20260502,3,20260502_113932,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_113932.npz
fgw0917,fgw-0917,left,20260502,3,20260502_114146,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114146.npz
fgw0917,fgw-0917,left,20260502,3,20260502_114400,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114400.npz
fgw0917,fgw-0917,left,20260502,3,20260502_114614,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114614.npz
fgw0917,fgw-0917,left,20260502,3,20260502_114827,fgw0917_0502_left,fgw-0917__20260502-left-3__20260502_114827.npz
fgw0917,fgw-0917,left,20260502,4,20260502_131001,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131001.npz
fgw0917,fgw-0917,left,20260502,4,20260502_131214,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131214.npz
fgw0917,fgw-0917,left,20260502,4,20260502_131505,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131505.npz
fgw0917,fgw-0917,left,20260502,4,20260502_131719,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131719.npz
fgw0917,fgw-0917,left,20260502,4,20260502_131959,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_131959.npz
fgw0917,fgw-0917,left,20260502,4,20260502_132214,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132214.npz
fgw0917,fgw-0917,left,20260502,4,20260502_132427,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132427.npz
fgw0917,fgw-0917,left,20260502,4,20260502_132642,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132642.npz
fgw0917,fgw-0917,left,20260502,4,20260502_132857,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_132857.npz
fgw0917,fgw-0917,left,20260502,4,20260502_133112,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133112.npz
fgw0917,fgw-0917,left,20260502,4,20260502_133340,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133340.npz
fgw0917,fgw-0917,left,20260502,4,20260502_133553,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133553.npz
fgw0917,fgw-0917,left,20260502,4,20260502_133809,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_133809.npz
fgw0917,fgw-0917,left,20260502,4,20260502_134024,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134024.npz
fgw0917,fgw-0917,left,20260502,4,20260502_134238,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134238.npz
fgw0917,fgw-0917,left,20260502,4,20260502_134508,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134508.npz
fgw0917,fgw-0917,left,20260502,4,20260502_134723,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134723.npz
fgw0917,fgw-0917,left,20260502,4,20260502_134940,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_134940.npz
fgw0917,fgw-0917,left,20260502,4,20260502_135155,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_135155.npz
fgw0917,fgw-0917,left,20260502,4,20260502_135409,fgw0917_0502_left,fgw-0917__20260502-left-4__20260502_135409.npz
fgw0917,fgw-0917,left,20260502,5,20260502_150009,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150009.npz
fgw0917,fgw-0917,left,20260502,5,20260502_150226,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150226.npz
fgw0917,fgw-0917,left,20260502,5,20260502_150440,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150440.npz
fgw0917,fgw-0917,left,20260502,5,20260502_150653,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150653.npz
fgw0917,fgw-0917,left,20260502,5,20260502_150906,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_150906.npz
fgw0917,fgw-0917,left,20260502,5,20260502_151119,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151119.npz
fgw0917,fgw-0917,left,20260502,5,20260502_151333,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151333.npz
fgw0917,fgw-0917,left,20260502,5,20260502_151548,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151548.npz
fgw0917,fgw-0917,left,20260502,5,20260502_151802,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_151802.npz
fgw0917,fgw-0917,left,20260502,5,20260502_152028,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152028.npz
fgw0917,fgw-0917,left,20260502,5,20260502_152243,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152243.npz
fgw0917,fgw-0917,left,20260502,5,20260502_152455,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152455.npz
fgw0917,fgw-0917,left,20260502,5,20260502_152710,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152710.npz
fgw0917,fgw-0917,left,20260502,5,20260502_152922,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_152922.npz
fgw0917,fgw-0917,left,20260502,5,20260502_153136,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_153136.npz
fgw0917,fgw-0917,left,20260502,5,20260502_153359,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_153359.npz
fgw0917,fgw-0917,left,20260502,5,20260502_153612,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_153612.npz
fgw0917,fgw-0917,left,20260502,5,20260502_153825,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_153825.npz
fgw0917,fgw-0917,left,20260502,5,20260502_154038,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_154038.npz
fgw0917,fgw-0917,left,20260502,5,20260502_154251,fgw0917_0502_left,fgw-0917__20260502-left-5__20260502_154251.npz
fgw0917,fgw-0917,left,20260502,6,20260502_141652,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_141652.npz
fgw0917,fgw-0917,left,20260502,6,20260502_141923,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_141923.npz
fgw0917,fgw-0917,left,20260502,6,20260502_142147,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_142147.npz
fgw0917,fgw-0917,left,20260502,6,20260502_142402,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_142402.npz
fgw0917,fgw-0917,left,20260502,6,20260502_142617,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_142617.npz
fgw0917,fgw-0917,left,20260502,6,20260502_142837,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_142837.npz
fgw0917,fgw-0917,left,20260502,6,20260502_143051,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_143051.npz
fgw0917,fgw-0917,left,20260502,6,20260502_143304,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_143304.npz
fgw0917,fgw-0917,left,20260502,6,20260502_143521,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_143521.npz
fgw0917,fgw-0917,left,20260502,6,20260502_143735,fgw0917_0502_left,fgw-0917__20260502-left-6__20260502_143735.npz
fgw0917,fgw-0917,left,20260502,7,20260502_154516,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_154516.npz
fgw0917,fgw-0917,left,20260502,7,20260502_154731,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_154731.npz
fgw0917,fgw-0917,left,20260502,7,20260502_154945,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_154945.npz
fgw0917,fgw-0917,left,20260502,7,20260502_155159,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_155159.npz
fgw0917,fgw-0917,left,20260502,7,20260502_155415,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_155415.npz
fgw0917,fgw-0917,left,20260502,7,20260502_155655,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_155655.npz
fgw0917,fgw-0917,left,20260502,7,20260502_155909,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_155909.npz
fgw0917,fgw-0917,left,20260502,7,20260502_160122,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_160122.npz
fgw0917,fgw-0917,left,20260502,7,20260502_160336,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_160336.npz
fgw0917,fgw-0917,left,20260502,7,20260502_160551,fgw0917_0502_left,fgw-0917__20260502-left-7__20260502_160551.npz
fgw0917,fgw-0917,left,20260502,8,20260502_160818,fgw0917_0502_left,fgw-0917__20260502-left-8__20260502_160818.npz
fgw0917,fgw-0917,left,20260502,8,20260502_161055,fgw0917_0502_left,fgw-0917__20260502-left-8__20260502_161055.npz
fgw0917,fgw-0917,left,20260502,8,20260502_161429,fgw0917_0502_left,fgw-0917__20260502-left-8__20260502_161429.npz
