subject,left,right,left_right_total,unknown_hand,n_dates,hand_variants
fgw0917,160,120,280,0,3,right_v71=20
ghd1108,275,65,340,60,6,left_v33flat=50;left_v71flat=50
gzx1027,60,0,60,0,1,
hjj0914,130,52,182,60,4,left_v33=10;left_v71=9
hzy1217,240,0,240,0,2,
lah0708,40,0,40,20,1,
ljx0904,0,0,0,60,0,
lql0125,57,223,280,20,6,right_v33=26;right_v71=13
lsh0126,212,40,252,95,5,
lwq0901,40,0,40,23,1,
lzy1210,60,0,60,0,1,
mlj0303,120,23,143,40,4,left_v71=29
myy0129,477,0,477,0,4,left_v33=7;left_v71=16
pgy0226,60,0,60,37,1,
pkj0309,246,120,366,0,3,
wjh0111,126,240,366,0,3,right_v33=40;right_v71=11
wlm1118,65,0,65,0,1,
wxg0901,454,0,454,0,4,left_v33=10;left_v71=7
wyl0101,195,120,315,0,4,left_v71=4
yxf0320,0,0,0,165,0,
zl0926,99,122,221,0,2,left_v33flat=40;left_v71=20
zlh0320,60,0,60,0,1,
zlh0804,0,60,60,0,1,
zrh0313,20,0,20,40,1,
zxd0310,0,0,0,60,0,
zxw1211,60,0,60,0,1,
zyb0201,20,0,20,160,1,
zyb0923,0,62,62,0,1,
